query_id,parent_count,representation,condition,method,cut_edges,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0062,2,OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,CLEAN,B6_PARENTSET_GRAPH,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,CLEAN,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0062,2,OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,0,0.16666666666666666,0.25,0.5,0.3333333333333333,False,False
Q0062,2,OPCODE_CONTEXT,DROP30,B6_PARENTSET_GRAPH,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,DROP30,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0062,2,OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0062,2,OPCODE_CONTEXT,BRIDGE,B6_PARENTSET_GRAPH,3,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0062,2,OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.3333333333333333,0.3333333333333333,0.5,0.4,False,False
Q0062,2,OPCODE_CONTEXT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0062,2,OPCODE_CONTEXT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,CLEAN,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,CLEAN,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,DROP30,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,DROP30,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,DROP30_BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_3GRAM,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_STRUCT,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,CLEAN,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,CLEAN,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,CLEAN,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_STRUCT,DROP30,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,DROP30,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,DROP30,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,DROP30,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_STRUCT,BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_STRUCT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_STRUCT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,CLEAN,B6_PARENTSET_GRAPH,4,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,CLEAN,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,DROP30,B6_PARENTSET_GRAPH,2,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,DROP30,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,BRIDGE,B6_PARENTSET_GRAPH,2,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0027,2,OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,1,0.0,0.0,0.0,0.0,False,False
Q0027,2,OPCODE_CONTEXT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0029,2,OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,CLEAN,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,0,0.8333333333333334,0.6666666666666666,1.0,0.8,False,False
Q0029,2,OPCODE_3GRAM,DROP30,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,DROP30,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0029,2,OPCODE_3GRAM,BRIDGE,B6_PARENTSET_GRAPH,5,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,BRIDGE,ORACLE_PARENTSET_GRAPH,5,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.6666666666666666,0.6666666666666666,1.0,0.8,False,False
Q0029,2,OPCODE_3GRAM,DROP30_BRIDGE,B6_PARENTSET_GRAPH,1,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_3GRAM,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,1,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,CLEAN,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,CLEAN,B3_HARD_COMPONENT,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,CLEAN,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,DROP30,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,DROP30,B3_HARD_COMPONENT,0,0.8333333333333334,0.6666666666666666,1.0,0.8,False,False
Q0029,2,OPCODE_STRUCT,DROP30,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,DROP30,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,BRIDGE,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0029,2,OPCODE_STRUCT,BRIDGE,B6_PARENTSET_GRAPH,3,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,BRIDGE,ORACLE_PARENTSET_GRAPH,3,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.6666666666666666,0.6666666666666666,1.0,0.8,False,False
Q0029,2,OPCODE_STRUCT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,1,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_STRUCT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,1,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,CLEAN,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,0,0.8333333333333334,0.6666666666666666,1.0,0.8,False,False
Q0029,2,OPCODE_CONTEXT,DROP30,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,DROP30,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0029,2,OPCODE_CONTEXT,BRIDGE,B6_PARENTSET_GRAPH,5,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,BRIDGE,ORACLE_PARENTSET_GRAPH,5,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.6666666666666666,0.6666666666666666,1.0,0.8,False,False
Q0029,2,OPCODE_CONTEXT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,1,1.0,1.0,1.0,1.0,True,True
Q0029,2,OPCODE_CONTEXT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,1,1.0,1.0,1.0,1.0,True,True
Q0079,2,OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,CLEAN,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,CLEAN,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0079,2,OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,DROP30,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,DROP30,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0079,2,OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0079,2,OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,DROP30_BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_3GRAM,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0079,2,OPCODE_STRUCT,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,CLEAN,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,CLEAN,B6_PARENTSET_GRAPH,1,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0079,2,OPCODE_STRUCT,DROP30,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,DROP30,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,DROP30,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,DROP30,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0079,2,OPCODE_STRUCT,BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0079,2,OPCODE_STRUCT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_STRUCT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0079,2,OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,0,0.5,0.5,0.5,0.5,False,False
Q0079,2,OPCODE_CONTEXT,CLEAN,B6_PARENTSET_GRAPH,2,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0079,2,OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,0,0.5,0.3333333333333333,0.5,0.4,False,False
Q0079,2,OPCODE_CONTEXT,DROP30,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,DROP30,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0079,2,OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,BRIDGE,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,BRIDGE,ORACLE_PARENTSET_GRAPH,3,1.0,1.0,1.0,1.0,True,True
Q0079,2,OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,1,0.0,0.0,0.0,0.0,False,False
Q0079,2,OPCODE_CONTEXT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,3,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_3GRAM,CLEAN,B6_PARENTSET_GRAPH,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,0,0.5,0.5,1.0,0.6666666666666666,False,False
Q0058,2,OPCODE_3GRAM,DROP30,B6_PARENTSET_GRAPH,0,0.16666666666666666,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,DROP30,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0058,2,OPCODE_3GRAM,BRIDGE,B6_PARENTSET_GRAPH,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.16666666666666666,0.3333333333333333,0.5,0.4,False,False
Q0058,2,OPCODE_3GRAM,DROP30_BRIDGE,B6_PARENTSET_GRAPH,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_3GRAM,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,CLEAN,B2_EXACT_GLOBAL,0,0.6666666666666666,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,CLEAN,B3_HARD_COMPONENT,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_STRUCT,CLEAN,B6_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_STRUCT,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_STRUCT,DROP30,B2_EXACT_GLOBAL,0,0.6666666666666666,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,DROP30,B3_HARD_COMPONENT,0,0.5,0.5,1.0,0.6666666666666666,False,False
Q0058,2,OPCODE_STRUCT,DROP30,B6_PARENTSET_GRAPH,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,DROP30,ORACLE_PARENTSET_GRAPH,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,BRIDGE,B2_EXACT_GLOBAL,0,0.6666666666666666,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0058,2,OPCODE_STRUCT,BRIDGE,B6_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,BRIDGE,ORACLE_PARENTSET_GRAPH,0,0.5,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.6666666666666666,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.16666666666666666,0.3333333333333333,0.5,0.4,False,False
Q0058,2,OPCODE_STRUCT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,1,0.6666666666666666,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_STRUCT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,1,0.6666666666666666,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,CLEAN,B6_PARENTSET_GRAPH,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,CLEAN,ORACLE_PARENTSET_GRAPH,0,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,0,0.5,0.3333333333333333,0.5,0.4,False,False
Q0058,2,OPCODE_CONTEXT,DROP30,B6_PARENTSET_GRAPH,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,DROP30,ORACLE_PARENTSET_GRAPH,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0058,2,OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,0,0.5,1.0,0.5,0.6666666666666666,False,False
Q0058,2,OPCODE_CONTEXT,BRIDGE,B6_PARENTSET_GRAPH,5,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,BRIDGE,ORACLE_PARENTSET_GRAPH,2,1.0,1.0,1.0,1.0,True,True
Q0058,2,OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,DROP30_BRIDGE,B6_PARENTSET_GRAPH,5,0.5,0.5,0.5,0.5,False,False
Q0058,2,OPCODE_CONTEXT,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,3,1.0,1.0,1.0,1.0,True,True
Q0023,2,OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,0,0.0,0.0,0.0,0.0,False,False
Q0023,2,OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,0,0.0,0.0,0.0,0.0,False,False
Q0023,2,OPCODE_3GRAM,CLEAN,B6_PARENTSET_GRAPH,0,0.0,0.0,0.0,0.0,False,False
